"sex","g","iteration","who","source"
"female",12.2290404,"3650","105","mydata1"
"male",8.6519695,"3650","117","mydata1"
"male",12.5162097,"3650","158","mydata1"
"male",5.8822335,"3650","160","mydata1"
"female",11.4826688,"3650","192","mydata1"
"male",9.8368049,"3650","204","mydata1"
"female",11.3860517,"3650","205","mydata1"
"female",10.0079473,"3650","213","mydata1"
"male",10.1529146,"3650","225","mydata1"
"female",9.1125492,"3650","232","mydata1"
"female",10.192659,"3650","269","mydata1"
"male",10.1236815,"3650","310","mydata1"
"female",10.0376096,"3650","407","mydata1"
"male",9.700454,"3650","494","mydata1"
"female",8.3677444,"3650","500","mydata1"
"male",8.5538198,"3650","508","mydata1"
"female",10.2886585,"3650","515","mydata1"
"female",10.9771688,"3650","517","mydata1"
"male",10.2178754,"3650","529","mydata1"
"female",9.5887464,"3650","545","mydata1"
"female",12.0669608,"3650","550","mydata1"
"male",10.4969566,"3650","554","mydata1"
"male",9.7990836,"3650","562","mydata1"
"female",11.5008855,"3650","564","mydata1"
"female",7.9086351,"3650","575","mydata1"
"male",12.8307082,"3650","592","mydata1"
"female",11.2921303,"3650","600","mydata1"
"female",13.3067649,"3650","628","mydata1"
"male",9.5076179,"3650","634","mydata1"
"female",11.048994,"3650","642","mydata1"
"female",10.6418325,"3650","644","mydata1"
"female",11.2266887,"3650","697","mydata1"
"female",10.5700634,"3650","721","mydata1"
"male",9.9323259,"3650","763","mydata1"
"female",11.8822564,"3650","768","mydata1"
"female",11.7847139,"3650","782","mydata1"
"female",12.0989276,"3650","817","mydata1"
"female",11.0834522,"3650","826","mydata1"
"male",12.3894583,"3650","835","mydata1"
"male",9.9348572,"3650","846","mydata1"
"female",9.7414008,"3650","847","mydata1"
"male",10.8015745,"3650","863","mydata1"
"female",12.5116565,"3650","882","mydata1"
"female",10.2938442,"3650","909","mydata1"
"male",8.9549833,"3650","917","mydata1"
"male",10.3793804,"3650","936","mydata1"
"male",8.9898158,"3650","941","mydata1"
"female",13.9741461,"3650","950","mydata1"
"male",10.266511,"3650","952","mydata1"
"female",9.9409283,"3650","960","mydata1"
"female",9.8985765,"3650","964","mydata1"
"female",9.993357,"3650","966","mydata1"
"female",11.0421884,"3650","980","mydata1"
"female",9.4115564,"3650","1000","mydata1"
"female",8.9746055,"3650","1008","mydata1"
"female",8.4485059,"3650","1011","mydata1"
"male",9.0776746,"3650","1014","mydata1"
"male",9.0109375,"3650","1028","mydata1"
"female",13.5385003,"3650","1035","mydata1"
"female",7.793558,"3650","1039","mydata1"
"male",9.8413644,"3650","1046","mydata1"
"female",10.9352228,"3650","1058","mydata1"
"male",10.8492484,"3650","1073","mydata1"
"female",10.7691472,"3650","1077","mydata1"
"male",9.9221873,"3650","1086","mydata1"
"female",8.5458231,"3650","1092","mydata1"
"male",9.3450864,"3650","1111","mydata1"
"male",9.6016798,"3650","1114","mydata1"
"female",10.5331985,"3650","1116","mydata1"
"male",10.5846024,"3650","1120","mydata1"
"female",10.9224602,"3650","1121","mydata1"
"female",11.4520118,"3650","1124","mydata1"
"female",10.9498287,"3650","1131","mydata1"
"male",10.7353498,"3650","1133","mydata1"
"male",9.8367285,"3650","1137","mydata1"
"female",7.9241144,"3650","1143","mydata1"
"male",12.5018934,"3650","1145","mydata1"
"male",8.9203854,"3650","1153","mydata1"
"female",10.465302,"3650","1169","mydata1"
"female",9.1454304,"3650","1170","mydata1"
"male",10.7771198,"3650","1178","mydata1"
"female",8.9774705,"3650","1199","mydata1"
"male",14.2698418,"3650","1215","mydata1"
"female",7.8695685,"3650","1216","mydata1"
"male",12.776249,"3650","1221","mydata1"
"male",11.779499,"3650","1231","mydata1"
"female",9.278477,"3650","1257","mydata1"
"male",10.444272,"3650","1274","mydata1"
"female",10.145131,"3650","1280","mydata1"
"male",12.1210155,"3650","1285","mydata1"
"female",11.742139,"3650","1322","mydata1"
"male",12.4761997,"3650","1331","mydata1"
"female",11.6244131,"3650","1336","mydata1"
"female",10.7562668,"3650","1370","mydata1"
"female",7.718261,"3650","1374","mydata1"
"female",14.1646462,"3650","1402","mydata1"
"male",9.8910225,"3650","1403","mydata1"
"female",5.2017364,"3650","1407","mydata1"
"female",10.8994184,"3650","1432","mydata1"
"male",8.6500511,"3650","1440","mydata1"
"female",10.379161,"3650","1441","mydata1"
"female",10.7934326,"3650","1443","mydata1"
"female",10.9859802,"3650","1447","mydata1"
"female",11.202617,"3650","1452","mydata1"
"male",8.7628465,"3650","1459","mydata1"
"female",12.5722608,"3650","1460","mydata1"
"male",8.7797444,"3650","1463","mydata1"
"female",12.8443553,"3650","1470","mydata1"
"male",12.1008059,"3650","1480","mydata1"
"female",11.3591941,"3650","1486","mydata1"
"male",10.5573636,"3650","1488","mydata1"
"female",11.2749262,"3650","1501","mydata1"
"male",11.5998404,"3650","1503","mydata1"
"male",9.791329,"3650","1504","mydata1"
"female",10.4146118,"3650","1506","mydata1"
"female",13.9902515,"3650","1507","mydata1"
"female",12.8844898,"3650","1511","mydata1"
"male",15.57412,"3650","1519","mydata1"
"male",8.9277335,"3650","1522","mydata1"
"female",11.8121139,"3650","1529","mydata1"
"male",8.2958733,"3650","1542","mydata1"
"female",10.2586626,"3650","1543","mydata1"
"female",8.875107,"3650","1548","mydata1"
"female",8.6821291,"3650","1550","mydata1"
"female",13.3740862,"3650","1551","mydata1"
"male",8.3374853,"3650","1556","mydata1"
"male",9.2662882,"3650","1561","mydata1"
"male",9.5909727,"3650","1563","mydata1"
"male",12.396519,"3650","1564","mydata1"
"male",12.2144557,"3650","1565","mydata1"
"female",11.4891134,"3650","1566","mydata1"
"male",13.1735022,"3650","1569","mydata1"
"female",10.3236951,"3650","1571","mydata1"
"male",8.914319,"3650","1572","mydata1"
