"sex","g","iteration","who","source"
"female",11.6096086,"3650","36","mydata1"
"male",10.4335936,"3650","73","mydata1"
"female",13.8817721,"3650","162","mydata1"
"female",8.0092692,"3650","212","mydata1"
"female",9.5373091,"3650","215","mydata1"
"male",11.7873064,"3650","369","mydata1"
"female",11.6468421,"3650","430","mydata1"
"female",9.0944831,"3650","438","mydata1"
"female",11.8652423,"3650","468","mydata1"
"male",10.6723827,"3650","555","mydata1"
"female",10.5547078,"3650","578","mydata1"
"male",10.7871702,"3650","582","mydata1"
"female",9.1915193,"3650","584","mydata1"
"female",13.4322345,"3650","585","mydata1"
"female",11.7304069,"3650","589","mydata1"
"male",9.0092285,"3650","595","mydata1"
"male",11.1735468,"3650","596","mydata1"
"female",10.2642034,"3650","602","mydata1"
"female",12.2565384,"3650","604","mydata1"
"male",11.0221187,"3650","611","mydata1"
"male",11.976791,"3650","612","mydata1"
"female",10.2388375,"3650","616","mydata1"
"male",8.3910597,"3650","620","mydata1"
"male",10.1452509,"3650","661","mydata1"
"male",9.1445845,"3650","698","mydata1"
"female",14.3563937,"3650","715","mydata1"
"male",11.0638964,"3650","723","mydata1"
"female",13.8706098,"3650","768","mydata1"
"female",14.550946,"3650","826","mydata1"
"male",11.7329433,"3650","829","mydata1"
"female",11.1642015,"3650","837","mydata1"
"male",10.3809174,"3650","934","mydata1"
"male",11.2047716,"3650","940","mydata1"
"male",8.9386063,"3650","989","mydata1"
"male",11.0104972,"3650","998","mydata1"
"male",11.5020301,"3650","1023","mydata1"
"male",9.1139764,"3650","1052","mydata1"
"female",10.6424456,"3650","1070","mydata1"
"male",11.8271742,"3650","1071","mydata1"
"male",11.3278879,"3650","1105","mydata1"
"male",9.8129476,"3650","1110","mydata1"
"male",10.414287,"3650","1112","mydata1"
"male",8.6463522,"3650","1115","mydata1"
"male",10.1638029,"3650","1121","mydata1"
"female",10.5371542,"3650","1127","mydata1"
"female",9.2261616,"3650","1137","mydata1"
"male",9.1566559,"3650","1144","mydata1"
"male",11.2371659,"3650","1148","mydata1"
"female",9.369107,"3650","1149","mydata1"
"male",9.9582282,"3650","1159","mydata1"
"female",10.3445204,"3650","1160","mydata1"
"male",12.1740243,"3650","1168","mydata1"
"male",10.64556,"3650","1172","mydata1"
"female",12.2992494,"3650","1173","mydata1"
"male",10.4559376,"3650","1175","mydata1"
