"sex","g","iteration","who","source"
"female",9.8640915,"3650","8","mydata1"
"female",8.4396649,"3650","18","mydata1"
"male",8.4833796,"3650","19","mydata1"
"male",5.7576284,"3650","25","mydata1"
"male",8.5012528,"3650","27","mydata1"
"male",12.5751929,"3650","36","mydata1"
"male",6.2319903,"3650","37","mydata1"
"female",10.0869029,"3650","53","mydata1"
"male",8.8690297,"3650","54","mydata1"
"male",10.7999732,"3650","56","mydata1"
"female",10.4767133,"3650","66","mydata1"
"female",9.8078581,"3650","70","mydata1"
"male",10.6540446,"3650","71","mydata1"
"male",8.3618644,"3650","77","mydata1"
"female",7.6832972,"3650","84","mydata1"
"male",9.7555907,"3650","86","mydata1"
"female",9.2553284,"3650","88","mydata1"
"female",10.5224605,"3650","97","mydata1"
"male",7.5228432,"3650","99","mydata1"
"female",9.1177774,"3650","100","mydata1"
"female",7.8341211,"3650","103","mydata1"
"female",8.8058681,"3650","122","mydata1"
"male",9.9102702,"3650","127","mydata1"
"female",7.2783134,"3650","128","mydata1"
"male",10.7037338,"3650","133","mydata1"
"male",10.7539584,"3650","145","mydata1"
"male",9.4875571,"3650","153","mydata1"
"female",10.512972,"3650","156","mydata1"
"male",11.1757819,"3650","162","mydata1"
"female",10.5355767,"3650","163","mydata1"
"female",11.4412303,"3650","165","mydata1"
"female",11.7845318,"3650","166","mydata1"
"female",7.8390467,"3650","168","mydata1"
"female",7.4475869,"3650","170","mydata1"
"male",10.3719175,"3650","172","mydata1"
"female",8.7528017,"3650","173","mydata1"
"male",7.2031474,"3650","176","mydata1"
"male",12.0018014,"3650","177","mydata1"
"female",8.033068,"3650","181","mydata1"
"male",7.8488862,"3650","185","mydata1"
"female",7.7007591,"3650","188","mydata1"
"male",9.7529051,"3650","191","mydata1"
"female",8.6113921,"3650","192","mydata1"
"male",9.6644166,"3650","200","mydata1"
"female",9.8235347,"3650","209","mydata1"
"female",10.7068073,"3650","216","mydata1"
"male",6.8005021,"3650","224","mydata1"
"female",10.9090754,"3650","225","mydata1"
"female",10.328183,"3650","226","mydata1"
"female",5.6563586,"3650","231","mydata1"
"female",8.4719986,"3650","233","mydata1"
"male",10.615524,"3650","234","mydata1"
"male",9.6135339,"3650","235","mydata1"
"female",9.6384258,"3650","236","mydata1"
"male",7.9353727,"3650","239","mydata1"
"male",12.2778005,"3650","240","mydata1"
"male",10.1749758,"3650","241","mydata1"
"female",8.6706469,"3650","246","mydata1"
"female",7.3797452,"3650","248","mydata1"
"male",6.7998842,"3650","255","mydata1"
"male",10.6399191,"3650","261","mydata1"
"female",8.886375,"3650","264","mydata1"
"male",10.4010633,"3650","265","mydata1"
"male",10.4561443,"3650","266","mydata1"
"female",11.1886399,"3650","269","mydata1"
"male",7.6569931,"3650","271","mydata1"
"male",11.4466486,"3650","278","mydata1"
"male",9.1592941,"3650","281","mydata1"
"female",8.8104836,"3650","284","mydata1"
"female",8.6714008,"3650","289","mydata1"
"male",8.2792373,"3650","290","mydata1"
"female",10.3738211,"3650","292","mydata1"
"female",10.0127311,"3650","293","mydata1"
"male",11.0376635,"3650","302","mydata1"
"female",10.9180262,"3650","307","mydata1"
"female",9.6678796,"3650","316","mydata1"
"male",11.3936022,"3650","319","mydata1"
"male",7.2484874,"3650","322","mydata1"
"male",10.411842,"3650","323","mydata1"
"female",10.573982,"3650","325","mydata1"
"female",9.9505001,"3650","326","mydata1"
"male",10.9243376,"3650","327","mydata1"
"female",11.9769946,"3650","328","mydata1"
"male",9.2410426,"3650","332","mydata1"
"female",9.6596971,"3650","338","mydata1"
"female",7.7954165,"3650","340","mydata1"
"female",9.1136051,"3650","342","mydata1"
"female",7.8702341,"3650","343","mydata1"
"male",7.6614326,"3650","344","mydata1"
"male",10.7490919,"3650","346","mydata1"
"male",8.0954624,"3650","348","mydata1"
"female",10.4400467,"3650","349","mydata1"
"female",9.3295811,"3650","350","mydata1"
"male",9.6784952,"3650","354","mydata1"
"female",10.3681291,"3650","356","mydata1"
"female",11.090924,"3650","359","mydata1"
"female",11.0612914,"3650","362","mydata1"
"male",9.5396943,"3650","369","mydata1"
"male",10.1975221,"3650","372","mydata1"
"male",9.0360635,"3650","374","mydata1"
"female",11.5596043,"3650","375","mydata1"
"male",7.310141,"3650","380","mydata1"
"male",10.1359832,"3650","382","mydata1"
"male",10.3380687,"3650","387","mydata1"
"male",10.6512434,"3650","388","mydata1"
"male",9.2753759,"3650","390","mydata1"
"female",8.0037503,"3650","395","mydata1"
"female",9.1264885,"3650","396","mydata1"
"male",11.8598487,"3650","398","mydata1"
"male",7.8144179,"3650","400","mydata1"
"male",13.424289,"3650","404","mydata1"
"male",7.3761994,"3650","405","mydata1"
"female",9.9223633,"3650","410","mydata1"
"male",9.6779774,"3650","413","mydata1"
"male",7.7719103,"3650","414","mydata1"
"male",8.6389497,"3650","424","mydata1"
"female",11.509476,"3650","427","mydata1"
"female",8.6282068,"3650","431","mydata1"
"male",11.3473773,"3650","432","mydata1"
"male",8.775243,"3650","433","mydata1"
"male",8.6390197,"3650","436","mydata1"
"male",9.6300506,"3650","438","mydata1"
"male",9.1724116,"3650","439","mydata1"
"female",7.9805603,"3650","441","mydata1"
"female",8.02151,"3650","442","mydata1"
"female",13.2046067,"3650","444","mydata1"
"male",8.3189861,"3650","449","mydata1"
"male",11.4014248,"3650","451","mydata1"
"male",8.6513665,"3650","455","mydata1"
"male",7.4251494,"3650","456","mydata1"
"female",10.7419256,"3650","457","mydata1"
"male",8.4550699,"3650","458","mydata1"
"female",7.2457803,"3650","460","mydata1"
"male",10.3760985,"3650","462","mydata1"
"male",7.1700394,"3650","463","mydata1"
"female",8.630265,"3650","465","mydata1"
"male",11.6270612,"3650","466","mydata1"
"female",8.6978678,"3650","468","mydata1"
"male",10.724684,"3650","469","mydata1"
"female",10.1642172,"3650","471","mydata1"
"male",8.7243532,"3650","472","mydata1"
"male",7.2905307,"3650","473","mydata1"
"male",8.3119539,"3650","474","mydata1"
"male",10.6768949,"3650","479","mydata1"
"female",9.9657031,"3650","480","mydata1"
"female",8.955205,"3650","481","mydata1"
"female",10.8292051,"3650","484","mydata1"
"female",8.3699773,"3650","485","mydata1"
"female",8.1358103,"3650","487","mydata1"
"female",12.7562711,"3650","488","mydata1"
"female",9.9102315,"3650","490","mydata1"
"female",9.2185488,"3650","492","mydata1"
"female",6.5434837,"3650","494","mydata1"
"male",7.3774968,"3650","495","mydata1"
"male",8.001703,"3650","497","mydata1"
"female",10.4559023,"3650","498","mydata1"
"male",9.8005995,"3650","500","mydata1"
"female",6.0527157,"3650","501","mydata1"
"male",10.4899853,"3650","502","mydata1"
"female",9.7593897,"3650","505","mydata1"
"female",7.0581512,"3650","506","mydata1"
"female",10.9074833,"3650","508","mydata1"
"female",9.4648535,"3650","511","mydata1"
"female",9.3152345,"3650","514","mydata1"
"male",13.6331385,"3650","516","mydata1"
"female",10.0262903,"3650","519","mydata1"
"male",6.6249523,"3650","520","mydata1"
"male",8.0207269,"3650","523","mydata1"
"female",11.1432557,"3650","524","mydata1"
"male",9.20721,"3650","527","mydata1"
"female",12.1733949,"3650","529","mydata1"
"male",8.3819669,"3650","531","mydata1"
"male",7.1973468,"3650","532","mydata1"
"female",11.2868112,"3650","535","mydata1"
